"0","1","2"
"Obs","alerte bd event",""
"","visibilité",""
"Dégâts ou lieux
atteints","cours d'eau",""
"","routes",""
"","forêt",""
"","poteaux",""
"","construction",""
"","néant",""
"Vic-
times","morts",""
"","blessés",""
"","néant",""
"Causes","inconnue",""
"","artificielle",""
"","involontaire",""
"","naturelle",""
"Météo 4h
précédentes","brouillard",""
"","nuages",""
"","ciel clair",""
"","vent fort",""
"","pluie",""
"","neige",""
"Météo 3 jours
précédents","pluie",""
"","redoux",""
"","direction vent",""
"","vent fort",""
"","hauteur de neige",""
"Caractéristiques","F - neige dépôt","9"
"","E - aérosol ?","9"
"","D - couloir / versant","9"
"","C - humidité départ","9"
"","B - sol visible ?","4"
"","A - type départ","9"
"Dépôt","hauteur (m)",""
"","largeur (m)",""
"","longeur (m)",""
"Altitudes","zone plane",""
"","versant opposé",""
"","altitude arrivée",""
"","altitude départ",""
"Dates","date2","10/05/04
00:00"
"","date1","10/05/04
00:00"
"Site","numéro
id","n°011
id 3833"
